FAMILY,genus.species,FLOWER_SPECIES,DATE
Megachilidae,Osmia.californica,Balsamorhiza sagittata,20-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,20-May-14
Megachilidae,Osmia.coloradensis,Balsamorhiza sagittata,20-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,20-May-14
Andrenidae,Andrena.lawrencei,Lesquerella ludoviciana,20-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,22-May-14
Apidae,Apis.mellifera,Taraxacum officinale,22-May-14
Megachilidae,Osmia.marginipennis,Taraxacum officinale,22-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.californica,Taraxacum officinale,22-May-14
Halictidae,Lasioglossum.sp.F5,Ribes cereum,22-May-14
Halictidae,Lasioglossum.sp.F5,Ribes cereum,22-May-14
Andrenidae,Andrena.microchlora,Lomatium triternatum,22-May-14
Andrenidae,Andrena.microchlora,Lomatium triternatum,22-May-14
Halictidae,Halictus.tripartitus,Antennaria neglecta,22-May-14
Halictidae,Lasioglossum.albipenne,Antennaria neglecta,22-May-14
Megachilidae,Osmia.longula,Oxytropis sericea,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Halictidae,Halictus.ligatus,Antennaria neglecta,22-May-14
Apidae,Nomada.sp.F7,Arabis holboellii var retrofracta,22-May-14
Andrenidae,Andrena.walleyi,Arabis holboellii var retrofracta,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.microchlora,Lomatium triternatum,22-May-14
Andrenidae,Andrena.microchlora,Lomatium triternatum,22-May-14
Apidae,Ceratina.neomexicana,Taraxacum officinale,22-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,22-May-14
Apidae,Apis.mellifera,Taraxacum officinale,22-May-14
Halictidae,Halictus.tripartitus,Taraxacum officinale,22-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,22-May-14
Halictidae,Lasioglossum.tenax,Taraxacum officinale,22-May-14
Megachilidae,Osmia.juxta,Oxytropis sericea,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.juxta,Astragalus miser,22-May-14
Halictidae,Lasioglossum.succinipenne,Fragaria virginiana,22-May-14
Halictidae,Lasioglossum.ruidosense,Fragaria virginiana,22-May-14
Megachilidae,Osmia.densa,Astragalus gilviflorus,22-May-14
Megachilidae,Osmia.longula,Phlox albomarginata,22-May-14
Megachilidae,Osmia.albolateralis,Oxytropis sericea,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,22-May-14
Halictidae,Halictus.tripartitus,Fragaria virginiana,22-May-14
Megachilidae,Osmia.juxta,Ribes cereum,22-May-14
Halictidae,Agapostemon.texanus.angelicus,Antennaria neglecta,22-May-14
Halictidae,Lasioglossum.succinipenne,Antennaria neglecta,22-May-14
Apidae,Bombus.bifarius,Arabis holboellii var retrofracta,22-May-14
Apidae,Bombus.bifarius,Astragalus alpinus,22-May-14
Apidae,Bombus.bifarius,Astragalus gilviflorus,22-May-14
Apidae,Bombus.appositus,Oxytropis sericea,22-May-14
Apidae,Bombus.huntii,Oxytropis sericea,22-May-14
Apidae,Anthophora.ursina,Astragalus alpinus,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Halictidae,Lasioglossum.marinense,Taraxacum officinale,23-May-14
Megachilidae,Osmia.juxta,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.albolateralis,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.coloradensis,Fragaria virginiana,23-May-14
Halictidae,Lasioglossum.sp.F5,Ribes cereum,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Apidae,Apis.mellifera,Taraxacum officinale,23-May-14
Halictidae,Lasioglossum.marinense,Taraxacum officinale,23-May-14
Andrenidae,Andrena.walleyi,Arabis holboellii var retrofracta,23-May-14
Apidae,Apis.mellifera,Cerastium sp,23-May-14
Halictidae,Lasioglossum.marinense,Taraxacum officinale,23-May-14
Apidae,Nomada.sp.M1,Taraxacum officinale,23-May-14
Megachilidae,Osmia.densa,Astragalus miser,23-May-14
Andrenidae,Andrena.nr.shoshoni,Geum triflorum,23-May-14
Andrenidae,Andrena.nr.shoshoni,Geum triflorum,23-May-14
Megachilidae,Osmia.coloradensis,Balsamorhiza sagittata,23-May-14
Halictidae,Agapostemon.texanus.angelicus,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Halictidae,Halictus.tripartitus,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.juxta,Oxytropis campestris,23-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.coloradensis,Balsamorhiza sagittata,23-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.montana.montana,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.juxta,Oxytropis campestris,23-May-14
Halictidae,Halictus.confusus,Fragaria virginiana,23-May-14
Megachilidae,Osmia.coloradensis,Fragaria virginiana,23-May-14
Halictidae,Lasioglossum.semicaeruleum,Fragaria virginiana,23-May-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,23-May-14
Andrenidae,Andrena.walleyi,Arabis holboellii var retrofracta,23-May-14
Megachilidae,Osmia.juxta,Taraxacum officinale,23-May-14
Apidae,Apis.mellifera,Taraxacum officinale,23-May-14
Andrenidae,Andrena.transnigra,Taraxacum officinale,23-May-14
Megachilidae,Osmia.juxta,Taraxacum officinale,23-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,23-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,23-May-14
Andrenidae,Andrena.lawrencei,Taraxacum officinale,23-May-14
Megachilidae,Osmia.californica,Taraxacum officinale,23-May-14
Halictidae,Lasioglossum.aff.caducum,Geum triflorum,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,23-May-14
Apidae,Bombus.bifarius,Ribes cereum,23-May-14
Apidae,Bombus.bifarius,Ribes cereum,23-May-14
Apidae,Bombus.huntii,Ribes cereum,23-May-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Melecta.pacifica.fulvida,Cryptantha celosioides,3-Jun-14
Apidae,Apis.mellifera,Lithospermum ruderale,3-Jun-14
Megachilidae,Stelis.callura,Packera cana,3-Jun-14
Megachilidae,Osmia.tristella,Penstemon albertinus,3-Jun-14
Megachilidae,Osmia.brevis,Penstemon eriantherus,3-Jun-14
Megachilidae,Osmia.brevis,Penstemon eriantherus,3-Jun-14
Andrenidae,Andrena.lawrencei,Balsamorhiza sagittata,3-Jun-14
Megachilidae,Osmia.albolateralis,Astragalus miser,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Eucera.fulvitarsis,Purshia tridentata,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Apidae,Apis.mellifera,Antennaria neglecta,3-Jun-14
Megachilidae,Osmia.californica,Balsamorhiza sagittata,4-Jun-14
Halictidae,Halictus.ligatus,Balsamorhiza sagittata,4-Jun-14
Megachilidae,Osmia.juxta,Astragalus agrestis,4-Jun-14
Megachilidae,Osmia.kincaidii,Lithospermum ruderale,4-Jun-14
Apidae,Melecta.pacifica.fulvida,Lithospermum ruderale,4-Jun-14
Apidae,Melecta.pacifica.fulvida,Lithospermum ruderale,4-Jun-14
Apidae,Anthophora.ursina,Penstemon procerus,4-Jun-14
Halictidae,Lasioglossum.sp.F5,Fragaria virginiana,4-Jun-14
